pts_per_g,per,ws,ws_per_48,bpm,Decision
25.maj,27.jan,15.mar,0.249,6.sep,0.258
23.feb,24.avg,13.0,0.218,6.jan,0.205
24.feb,23.jun,13.sep,0.195,6.avg,0.149
28.apr,20.0,6.sep,0.11599999999999999,2.jun,0.109
25.avg,24.maj,10.jul,0.185,4.avg,0.09300000000000001
24.maj,23.apr,10.jul,0.179,5.sep,0.079
25.jul,23.apr,11.avg,0.182,4.jun,0.042
14.mar,18.apr,8.maj,0.156,4.jan,0.021
22.maj,21.jul,10.jun,0.20199999999999999,5.mar,0.002
16.feb,19.maj,8.0,0.149,4.apr,0.001
22.jun,19.feb,8.mar,0.114,2.apr,0.001
18.jan,17.mar,10.jan,0.162,3.mar,0.001
18.feb,16.jul,7.mar,0.11800000000000001,2.jan,0.001
31.jan,24.0,11.avg,0.19,4.avg,0.904
22.feb,23.avg,13.feb,0.2,5.apr,0.569
28.jul,30.2,14.sep,0.245,7.mar,0.466
27.jan,24.jul,11.0,0.18600000000000003,4.sep,0.42
22.0,23.sep,11.avg,0.17600000000000002,5.jul,0.122
26.avg,24.sep,12.feb,0.18899999999999997,5.jun,0.052000000000000005
23.feb,24.jul,13.jan,0.217,5.sep,0.017
16.sep,19.apr,9.jun,0.15,4.avg,0.015
28.maj,24.maj,11.mar,0.196,4.feb,0.009000000000000001
14.apr,23.jul,12.jan,0.24600000000000002,5.maj,0.006
22.0,22.sep,13.jul,0.21100000000000002,5.jun,0.006
27.jun,25.0,12.sep,0.20800000000000002,7.0,0.006
25.mar,22.mar,10.apr,0.16,3.feb,0.004
29.avg,21.avg,9.feb,0.13699999999999998,3.jul,0.002
21.maj,18.feb,8.maj,0.11900000000000001,2.mar,0.001
16.jan,17.apr,11.jun,0.171,2.jul,0.001
11.maj,22.mar,10.avg,0.21600000000000003,3.maj,0.001
25.maj,27.0,17.avg,0.257,7.jun,0.757
14.jul,19.jan,8.sep,0.14,5.jan,0.7120000000000001
27.feb,29.jul,13.feb,0.262,7.0,0.552
25.jun,25.jan,11.maj,0.18899999999999997,6.0,0.31
25.feb,23.feb,12.jul,0.19899999999999998,4.apr,0.078
22.jan,22.sep,12.jun,0.183,4.jun,0.043
24.maj,24.apr,8.jun,0.2,6.feb,0.028999999999999998
23.apr,24.jan,13.apr,0.222,4.jul,0.025
31.4,21.sep,6.sep,0.126,3.avg,0.023
7.jun,18.jun,11.jun,0.19,5.sep,0.019
26.jan,22.mar,12.sep,0.187,4.sep,0.017
21.feb,23.avg,12.avg,0.19399999999999998,6.jul,0.013000000000000001
22.sep,20.jul,3.mar,0.075,2.apr,0.013000000000000001
17.sep,20.jul,9.sep,0.16699999999999998,2.mar,0.004
21.apr,19.0,5.avg,0.10400000000000001,0.7,0.002
13.jul,14.sep,6.mar,0.113,-0.4,0.001
18.feb,23.jun,13.jun,0.21600000000000003,6.feb,0.001
21.feb,19.mar,9.sep,0.179,2.jul,0.001
23.mar,26.sep,16.maj,0.248,7.apr,0.8079999999999999
23.0,26.apr,15.jun,0.225,8.jul,0.732
30.0,26.feb,14.sep,0.21,6.apr,0.41700000000000004
32.1,30.mar,16.jan,0.262,9.jul,0.359
27.maj,29.maj,13.feb,0.25,6.mar,0.106
27.jun,21.feb,9.feb,0.127,2.avg,0.07
25.jan,25.jun,16.jan,0.249,5.jul,0.036000000000000004
6.sep,17.feb,10.jun,0.17600000000000002,5.jan,0.027999999999999997
18.jul,22.feb,11.mar,0.182,6.sep,0.026000000000000002
23.0,20.sep,6.sep,0.127,3.avg,0.016
21.jun,18.0,9.0,0.13,2.0,0.001
17.jul,22.jun,11.jun,0.20600000000000002,3.mar,0.001
25.sep,22.jul,10.jan,0.157,4.feb,0.001
24.feb,29.apr,18.mar,0.272,9.sep,0.991
22.mar,27.jan,13.jan,0.249,7.mar,0.5820000000000001
20.jan,21.jan,9.0,0.155,1.avg,0.425
24.feb,21.avg,13.maj,0.198,3.jul,0.228
24.0,23.jul,10.jul,0.21,5.jul,0.172
21.maj,24.apr,9.sep,0.192,5.apr,0.145
9.maj,17.mar,10.feb,0.16,5.jan,0.02
15.maj,19.jul,7.feb,0.141,4.maj,0.013999999999999999
20.sep,18.mar,5.jan,0.078,1.sep,0.009000000000000001
19.avg,22.avg,12.jan,0.205,4.mar,0.003
22.sep,20.jul,7.maj,0.133,5.jun,0.003
21.avg,22.maj,11.maj,0.19,3.apr,0.003
16.maj,22.jun,11.jun,0.192,8.feb,0.002
21.0,17.jun,6.jan,0.098,0.1,0.001
17.maj,21.sep,11.apr,0.20199999999999999,1.sep,0.001
21.jul,19.sep,9.jul,0.154,2.feb,0.001
15.maj,22.0,10.sep,0.203,1.jul,0.8390000000000001
22.sep,27.0,11.0,0.21100000000000002,5.jun,0.813
26.jan,26.jan,15.jun,0.248,5.jul,0.275
20.mar,27.0,11.feb,0.245,6.apr,0.258
30.jul,23.feb,9.0,0.136,4.mar,0.18899999999999997
27.feb,25.jul,14.mar,0.203,8.mar,0.073
25.jul,22.sep,12.0,0.18,6.avg,0.035
24.jan,23.jan,11.0,0.177,4.apr,0.034
26.0,26.jun,14.jun,0.243,3.apr,0.032
23.sep,20.sep,10.jul,0.168,3.jul,0.032
22.feb,28.feb,16.jan,0.248,9.jul,0.012
25.maj,21.mar,11.maj,0.16899999999999998,4.0,0.003
24.maj,22.sep,9.apr,0.159,5.mar,0.002
10.avg,15.maj,6.sep,0.11800000000000001,1.mar,0.001
10.mar,18.0,5.avg,0.138,3.apr,0.001
19.apr,21.jul,12.maj,0.191,4.sep,0.001
18.avg,23.mar,12.apr,0.212,3.jul,0.7390000000000001
31.4,28.jan,16.mar,0.23199999999999998,9.mar,0.55
26.jun,28.jan,17.jul,0.275,5.jul,0.435
35.4,28.0,15.mar,0.22399999999999998,5.avg,0.386
18.maj,23.apr,15.maj,0.254,4.jul,0.344
27.feb,27.jun,14.apr,0.239,7.maj,0.07
