;fga;fg3a;fta;per;ts_pct;usg_pct;bpm;season;player;win_pct;votes_first;points_won;points_max;award_share;g;mp_per_g;pts_per_g;trb_perg;ast_per_g;stl_per_g;blk_per_g;fg_pct;fg3_pct;ft_pct;ws;ws_per_48;all_star_votes;all_star_share;Decision
0;18.jun;0.2;6.maj;25.jan;0.572;28.apr;8.0;1980-81;Julius Erving;0.7560975609756098;28.0;454.0;690.0;0.658;82.0;35.0;24.jun;8.0;4.apr;2.jan;1.avg;0.521;0.222;0.787;13.avg;0.231;180160;0.049;0.658
1;18.mar;0.9;4.0;19.sep;0.528;24.mar;5.jan;1980-81;Larry Bird;0.7560975609756098;20.0;423.0;690.0;0.613;82.0;39.5;21.feb;10.sep;5.maj;2.0;0.8;0.478;0.27;0.863;10.avg;0.16;114485;0.031;0.613
2;18.feb;0.0;6.sep;25.maj;0.616;26.mar;5.mar;1980-81;Kareem Abdul-Jabbar;0.6585365853658537;8.0;286.0;690.0;0.414;80.0;37.2;26.feb;10.mar;3.apr;0.7;2.sep;0.574;0.0;0.766;14.mar;0.23;201621;0.055;0.414
3;19.mar;0.0;10.jan;25.jan;0.585;27.jun;3.jul;1980-81;Moses Malone;0.4878048780487805;8.0;180.0;690.0;0.261;80.0;40.6;27.avg;14.avg;1.avg;1.0;1.sep;0.522;0.333;0.757;13.jul;0.202;184410;0.051;0.261
4;21.jan;0.4;7.jun;22.sep;0.555;32.3;1.jun;1980-81;George Gervin;0.6341463414634146;1.0;83.0;690.0;0.12;82.0;33.7;27.jan;5.jan;3.feb;1.jan;0.7;0.492;0.257;0.826;10.maj;0.182;286463;0.079;0.12
5;15.feb;0.1;5.0;22.0;0.583;23.mar;5.sep;1980-81;Marques Johnson;0.7317073170731707;1.0;73.0;690.0;0.106;76.0;33.4;20.mar;6.avg;4.jun;1.maj;0.5;0.552;0.0;0.706;11.feb;0.211;158253;0.043;0.106
6;14.feb;0.0;4.avg;25.feb;0.579;27.jan;5.0;1980-81;Robert Parish;0.7560975609756098;0.0;53.0;690.0;0.077;82.0;28.0;18.sep;9.maj;1.avg;1.0;2.jun;0.545;0.0;0.71;10.sep;0.228;0;0;0.077
7;15.apr;0.6;6.mar;17.0;0.516;24.jun;2.0;1980-81;Dennis Johnson;0.6951219512195121;0.0;50.0;690.0;0.072;79.0;33.1;18.avg;4.jun;3.jul;1.jul;0.8;0.436;0.216;0.82;8.apr;0.154;129664;0.036;0.072
8;9.jun;0.1;5.feb;14.mar;0.582;17.maj;-1.3;1980-81;Tiny Archibald;0.7560975609756098;0.0;32.0;690.0;0.046;80.0;35.3;13.avg;2.feb;7.jul;0.9;0.2;0.499;0.0;0.816;6.sep;0.118;0;0;0.046
9;18.maj;0.2;4.jan;18.0;0.556;24.maj;0.8;1980-81;Jamaal Wilkes;0.6585365853658537;0.0;19.0;690.0;0.028;81.0;37.4;22.jun;5.apr;2.sep;1.maj;0.4;0.526;0.077;0.758;8.maj;0.135;0;0;0.028
10;15.sep;0.5;6.jan;25.jul;0.582;24.mar;9.feb;1980-81;Magic Johnson;0.6585365853658537;0.0;18.0;690.0;0.026;37.0;37.1;21.jun;8.jun;8.jun;3.apr;0.7;0.532;0.176;0.76;6.apr;0.225;185754;0.051;0.026
11;20.mar;0.1;9.avg;24.mar;0.622;28.apr;4.jun;1980-81;Adrian Dantley;0.34146341463414637;1.0;15.0;690.0;0.022;80.0;42.7;30.jul;6.apr;4.0;1.apr;0.2;0.559;0.286;0.806;13.jun;0.191;145724;0.04;0.022
12;13.apr;0.5;5.apr;17.mar;0.553;23.mar;-1.1;1980-81;Phil Ford;0.4878048780487805;1.0;15.0;690.0;0.022;66.0;34.7;17.maj;1.sep;8.avg;1.maj;0.1;0.478;0.306;0.831;5.feb;0.11;0;0;0.022
13;15.apr;0.1;5.apr;19.sep;0.617;23.feb;3.mar;1980-81;Bernard King;0.47560975609756095;0.0;12.0;690.0;0.017;81.0;36.0;21.sep;6.avg;3.maj;0.9;0.4;0.588;0.333;0.703;9.jan;0.15;0;0;0.017
14;14.maj;0.4;2.jul;14.sep;0.484;24.mar;-2.8;1980-81;Kelvin Ransey;0.5487804878048781;1.0;11.0;690.0;0.016;80.0;30.apr;15.feb;2.apr;6.sep;1.jan;0.1;0.452;0.097;0.749;2.avg;0.056;0;0;0.016
15;16.0;0.1;5.0;18.0;0.512;23.jun;1.maj;1980-81;Jack Sikma;0.4146341463414634;0.0;11.0;690.0;0.016;82.0;35.6;18.jul;10.apr;3.0;1.0;1.jan;0.454;0.0;0.823;8.0;0.132;134474;0.037;0.016
16;18.apr;0.5;6.apr;20.mar;0.58;26.avg;2.apr;1980-81;Otis Birdsong;0.4878048780487805;0.0;7.0;690.0;0.01;71.0;36.5;24.jun;3.jun;3.mar;1.mar;0.3;0.544;0.286;0.697;8.feb;0.152;0;0;0.01
17;14.jan;1.mar;4.mar;17.jan;0.511;20.0;4.maj;1980-81;Micheal Ray Richardson;0.6097560975609756;0.0;7.0;690.0;0.01;79.0;40.2;16.apr;6.sep;7.sep;2.sep;0.4;0.469;0.225;0.663;6.sep;0.104;0;0;0.01
18;15.jun;0.0;4.avg;14.sep;0.531;21.maj;0.0;1980-81;Truck Robinson;0.6951219512195121;0.0;6.0;690.0;0.009;82.0;37.7;18.avg;9.jun;2.maj;0.8;0.5;0.505;0.0;0.629;7.jun;0.119;0;0;0.009
19;13.apr;1.jan;6.jul;18.apr;0.578;23.jan;2.jan;1980-81;Reggie Theus;0.5487804878048781;0.0;6.0;690.0;0.009;82.0;34.4;18.sep;3.maj;5.feb;1.maj;0.2;0.495;0.2;0.809;9.feb;0.156;0;0;0.009
20;15.mar;0.2;3.feb;15.maj;0.511;21.avg;-1.2;1980-81;Norm Nixon;0.6585365853658537;0.0;5.0;690.0;0.007;79.0;37.5;17.jan;2.sep;8.avg;1.avg;0.1;0.476;0.167;0.778;5.maj;0.089;0;0;0.007
21;10.0;0.0;6.maj;21.jul;0.699;18.maj;4.sep;1980-81;Artis Gilmore;0.5487804878048781;0.0;4.0;690.0;0.006;82.0;34.5;17.sep;10.jan;2.jan;0.6;2.apr;0.67;0.0;0.705;12.mar;0.208;0;0;0.006
22;10.jul;0.0;4.jan;19.jul;0.573;21.avg;3.apr;1980-81;Bob Lanier;0.7317073170731707;0.0;4.0;690.0;0.006;67.0;26.feb;14.mar;6.feb;2.jul;1.jan;1.feb;0.525;1.0;0.751;6.avg;0.185;0;0;0.006
23;8.jan;0.2;1.avg;12.feb;0.53;13.maj;1.maj;1980-81;Michael Cooper;0.6585365853658537;0.0;3.0;690.0;0.004;81.0;32.4;9.apr;4.jan;4.jan;1.jun;1.0;0.491;0.211;0.785;5.0;0.092;0;0;0.004
24;14.jan;0.2;3.feb;18.apr;0.579;25.jun;0.9;1980-81;Walter Davis;0.6951219512195121;0.0;3.0;690.0;0.004;78.0;28.0;18.0;2.jun;3.sep;1.feb;0.2;0.539;0.412;0.836;7.jan;0.157;100546;0.028;0.004
25;4.feb;0.0;1.mar;13.maj;0.517;10.apr;3.feb;1980-81;George Johnson;0.6341463414634146;0.0;3.0;690.0;0.004;82.0;23.jun;5.0;7.mar;1.jan;0.6;3.apr;0.473;0.0;0.734;4.maj;0.112;0;0;0.004
26;9.mar;0.0;4.mar;20.jan;0.604;20.avg;5.0;1980-81;Bobby Jones;0.7560975609756098;0.0;3.0;690.0;0.004;81.0;25.mar;13.maj;5.apr;2.avg;1.feb;0.9;0.539;0.0;0.813;9.feb;0.217;0;0;0.004
27;21.avg;0.1;4.jul;17.maj;0.513;26.sep;-1.5;1980-81;Mike Mitchell;0.34146341463414637;0.0;3.0;690.0;0.004;82.0;39.0;24.maj;6.jan;1.jul;0.8;0.6;0.476;0.444;0.784;6.0;0.091;0;0;0.004
28;13.mar;0.0;5.sep;19.apr;0.557;26.jan;-0.3;1980-81;James Silas;0.6341463414634146;0.0;3.0;690.0;0.004;75.0;27.apr;17.jul;3.jan;3.avg;0.7;0.2;0.477;0.0;0.85;7.0;0.164;116492;0.032;0.004
29;11.jul;0.1;2.maj;15.jan;0.522;21.jan;1.jun;1980-81;Quinn Buckner;0.7317073170731707;0.0;1.0;690.0;0.001;82.0;29.jan;13.mar;3.jun;4.jul;2.apr;0.0;0.493;0.167;0.734;5.apr;0.108;0;0;0.001
30;6.0;0.0;2.apr;10.jan;0.512;11.mar;0.8;1980-81;Caldwell Jones;0.7560975609756098;0.0;1.0;690.0;0.001;81.0;32.6;7.feb;10.0;1.maj;0.7;1.jul;0.449;0.0;0.767;5.maj;0.1;0;0;0.001
31;22.maj;0.1;10.feb;26.avg;0.576;29.sep;4.mar;1981-82;Moses Malone;0.5609756097560976;40.0;507.0;690.0;0.735;81.0;42.0;31.jan;14.jul;1.avg;0.9;1.maj;0.519;0.0;0.762;15.apr;0.218;136014;0.027;0.735
32;18.apr;0.7;4.sep;22.jun;0.557;25.feb;7.maj;1981-82;Larry Bird;0.7682926829268293;20.0;406.0;690.0;0.588;77.0;38.0;22.sep;10.sep;5.avg;1.sep;0.9;0.503;0.212;0.863;12.maj;0.205;0;0;0.588
33;17.jun;0.1;6.jul;25.sep;0.593;28.jan;7.avg;1981-82;Julius Erving;0.7073170731707317;1.0;203.0;690.0;0.294;81.0;34.4;24.apr;6.sep;3.sep;2.0;1.jul;0.546;0.273;0.763;13.mar;0.229;304600;0.059;0.294
34;15.apr;0.0;4.apr;22.jun;0.571;25.maj;3.avg;1981-82;Robert Parish;0.7682926829268293;4.0;131.0;690.0;0.19;80.0;31.jul;19.sep;10.avg;1.avg;0.9;2.apr;0.542;0.0;0.71;10.0;0.19;0;0;0.19
35;19.sep;0.5;5.maj;21.avg;0.526;28.maj;4.feb;1981-82;Gus Williams;0.6341463414634146;2.0;115.0;690.0;0.167;80.0;36.0;23.apr;3.jan;6.sep;2.feb;0.5;0.486;0.225;0.734;10.feb;0.171;0;0;0.167
36;25.feb;0.5;8.jan;24.feb;0.562;35.0;1.jul;1981-82;George Gervin;0.5853658536585366;1.0;110.0;690.0;0.159;79.0;35.7;32.3;5.0;2.apr;1.0;0.6;0.5;0.278;0.864;10.jul;0.182;209549;0.041;0.159
37;13.mar;0.2;7.feb;20.jan;0.601;21.0;5.maj;1981-82;Sidney Moncrief;0.6707317073170732;1.0;101.0;690.0;0.146;80.0;37.3;19.avg;6.jul;4.avg;1.jul;0.3;0.523;0.071;0.817;13.apr;0.216;0;0;0.146
38;13.mar;0.4;5.jun;22.sep;0.59;20.jan;8.mar;1981-82;Magic Johnson;0.6951219512195121;0.0;67.0;690.0;0.097;78.0;38.3;18.jun;9.jun;9.maj;2.jul;0.4;0.537;0.207;0.76;12.sep;0.207;0;0;0.097
39;14.avg;0.2;6.apr;20.jun;0.559;22.maj;4.jan;1981-82;Jack Sikma;0.6341463414634146;0.0;33.0;690.0;0.048;82.0;37.2;19.jun;12.jul;3.apr;1.feb;1.mar;0.479;0.154;0.855;12.jun;0.199;224047;0.044;0.048
40;17.jan;0.0;5.avg;23.apr;0.608;25.jun;4.mar;1981-82;Kareem Abdul-Jabbar;0.6951219512195121;0.0;31.0;690.0;0.045;76.0;35.2;23.sep;8.jul;3.0;0.8;2.jul;0.579;0.0;0.706;10.jul;0.192;265200;0.052;0.045
41;14.sep;0.1;6.jan;19.maj;0.527;24.jun;3.mar;1981-82;Dan Roundfield;0.5121951219512195;0.0;14.0;690.0;0.02;61.0;36.3;18.jun;11.avg;2.jul;1.0;1.maj;0.466;0.2;0.76;6.maj;0.141;253710;0.049;0.02
42;15.jun;0.3;7.jun;16.apr;0.57;23.mar;1.feb;1981-82;Kelly Tripucka;0.47560975609756095;0.0;14.0;690.0;0.02;82.0;37.5;21.jun;5.apr;3.mar;1.jan;0.2;0.496;0.227;0.797;7.maj;0.117;0;0;0.02
43;18.sep;0.1;5.apr;22.feb;0.596;25.mar;4.jan;1981-82;Alex English;0.5609756097560976;0.0;12.0;690.0;0.017;82.0;36.8;25.apr;6.avg;5.mar;1.jan;1.maj;0.551;0.0;0.84;9.maj;0.152;169466;0.033;0.017
44;16.maj;0.1;6.mar;19.avg;0.6;25.mar;2.jul;1981-82;Bernard King;0.5487804878048781;0.0;10.0;690.0;0.014;79.0;36.2;23.feb;5.sep;3.jun;1.0;0.3;0.566;0.2;0.705;8.jul;0.147;0;0;0.014
45;19.jun;0.0;10.jan;24.feb;0.631;27.sep;4.jun;1981-82;Adrian Dantley;0.3048780487804878;0.0;7.0;690.0;0.01;81.0;39.8;30.mar;6.mar;4.0;1.feb;0.2;0.57;0.333;0.792;12.jun;0.187;256837;0.05;0.01
46;16.sep;0.7;5.jul;19.0;0.527;27.apr;3.sep;1981-82;Ray Williams;0.5365853658536586;0.0;6.0;690.0;0.009;82.0;33.3;20.apr;4.0;6.0;2.apr;0.5;0.462;0.167;0.832;7.sep;0.139;0;0;0.009
47;9.avg;0.2;2.mar;14.mar;0.556;17.maj;1.feb;1981-82;Michael Cooper;0.6951219512195121;0.0;3.0;690.0;0.004;76.0;28.sep;11.sep;3.maj;3.0;1.jun;0.8;0.517;0.118;0.813;5.0;0.109;0;0;0.004
48;15.mar;0.1;8.jan;23.jan;0.608;26.0;1.mar;1981-82;Dan Issel;0.5609756097560976;0.0;3.0;690.0;0.004;81.0;30.maj;22.sep;7.maj;2.feb;0.8;0.7;0.527;0.667;0.834;9.avg;0.19;0;0;0.004
49;12.jul;0.1;4.mar;18.0;0.566;22.jan;2.sep;1981-82;Marques Johnson;0.6707317073170732;0.0;3.0;690.0;0.004;60.0;31.jul;16.maj;6.jan;3.jun;1.0;0.6;0.532;0.0;0.7;6.feb;0.158;216801;0.042;0.004
50;14.avg;0.8;6.0;14.maj;0.487;25.0;-1.0;1981-82;Isiah Thomas;0.47560975609756095;0.0;3.0;690.0;0.004;72.0;33.8;17.0;2.sep;7.avg;2.jan;0.2;0.424;0.288;0.704;2.mar;0.046;0;0;0.004
51;15.apr;0.5;6.feb;16.jul;0.54;23.jun;1.jul;1981-82;Dennis Johnson;0.5609756097560976;0.0;1.0;690.0;0.001;80.0;36.7;19.maj;5.jan;4.jun;1.mar;0.7;0.47;0.19;0.806;8.jan;0.132;123287;0.024;0.001
52;16.maj;0.0;5.jun;19.feb;0.548;22.sep;3.0;1981-82;Mychal Thompson;0.5121951219512195;0.0;1.0;690.0;0.001;79.0;39.6;20.avg;11.jul;4.0;0.9;1.apr;0.523;0.0;0.628;8.feb;0.125;0;0;0.001
53;17.sep;0.0;5.0;18.jul;0.532;28.jun;0.3;1981-82;Jay Vincent;0.34146341463414637;0.0;1.0;690.0;0.001;81.0;32.4;21.apr;7.0;2.feb;1.jan;0.3;0.497;0.25;0.716;5.jun;0.102;0;0;0.001
54;17.mar;0.0;4.jan;16.maj;0.554;23.jun;-0.7;1981-82;Jamaal Wilkes;0.6951219512195121;0.0;1.0;690.0;0.001;82.0;35.4;21.jan;4.avg;1.jul;1.jan;0.3;0.525;0.0;0.732;7.jul;0.127;0;0;0.001
55;10.jul;0.0;4.jul;17.feb;0.603;18.feb;1.avg;1981-82;Buck Williams;0.5365853658536586;0.0;1.0;690.0;0.001;82.0;34.5;15.maj;12.mar;1.mar;1.0;1.0;0.582;0.0;0.624;8.sep;0.152;0;0;0.001
56;16.jul;0.0;10.jan;25.jan;0.578;26.0;3.apr;1982-83;Moses Malone;0.7926829268292683;69.0;720.0;750.0;0.96;78.0;37.5;24.maj;15.mar;1.mar;1.jan;2.0;0.501;0.0;0.761;15.jan;0.248;216802;0.032;0.96
57;18.jul;1.0;5.mar;24.jan;0.561;25.0;7.jun;1982-83;Larry Bird;0.6829268292682927;1.0;364.0;750.0;0.485;79.0;37.7;23.jun;11.0;5.avg;1.sep;0.9;0.504;0.286;0.84;14.0;0.225;380485;0.056;0.485
58;11.avg;0.3;4.avg;23.0;0.603;19.0;7.apr;1982-83;Magic Johnson;0.7073170731707317;2.0;304.5;750.0;0.406;79.0;36.8;16.avg;8.jun;10.maj;2.feb;0.6;0.548;0.0;0.8;12.maj;0.207;212518;0.031;0.406
59;15.feb;0.1;7.sep;22.jun;0.602;24.jul;5.jul;1982-83;Sidney Moncrief;0.6219512195121951;0.0;226.0;750.0;0.301;76.0;35.7;22.maj;5.avg;3.sep;1.maj;0.3;0.524;0.1;0.826;13.feb;0.233;215065;0.032;0.301
60;16.mar;0.1;6.0;23.jan;0.566;25.maj;6.mar;1982-83;Julius Erving;0.7926829268292683;3.0;112.0;750.0;0.149;72.0;33.6;21.apr;6.avg;3.jul;1.jun;1.avg;0.517;0.286;0.759;10.sep;0.217;432230;0.064;0.149
61;22.jun;0.1;6.0;24.jan;0.561;28.sep;4.jul;1982-83;Alex English;0.5487804878048781;0.0;42.0;750.0;0.056;82.0;36.4;28.apr;7.mar;4.avg;1.apr;1.maj;0.516;0.167;0.829;10.mar;0.166;0;0;0.056
62;11.jan;0.0;6.apr;18.jun;0.611;18.apr;3.mar;1982-83;Buck Williams;0.5975609756097561;0.0;40.0;750.0;0.053;82.0;36.1;17.0;12.maj;1.maj;1.jan;1.mar;0.588;0.0;0.62;11.apr;0.185;0;0;0.053
63;10.avg;0.1;6.0;21.feb;0.668;19.apr;3.jun;1982-83;Artis Gilmore;0.6463414634146342;0.0;33.0;750.0;0.044;82.0;34.1;18.0;12.0;1.maj;0.5;2.mar;0.626;0.0;0.74;11.0;0.189;270313;0.04;0.044
64;19.sep;0.4;7.avg;20.maj;0.561;29.jan;1.jan;1982-83;George Gervin;0.6463414634146342;0.0;30.0;750.0;0.04;78.0;36.3;26.feb;4.jun;3.apr;1.jan;0.9;0.487;0.364;0.853;9.apr;0.159;343977;0.051;0.04
65;15.maj;0.0;4.jul;23.jun;0.619;24.jun;3.avg;1982-83;Kareem Abdul-Jabbar;0.7073170731707317;0.0;15.0;750.0;0.02;79.0;32.3;21.avg;7.maj;2.maj;0.8;2.feb;0.588;0.0;0.749;10.sep;0.205;283821;0.042;0.02
66;13.sep;0.1;6.apr;19.jun;0.546;22.maj;3.feb;1982-83;Jack Sikma;0.5853658536585366;0.0;13.0;750.0;0.017;75.0;34.2;18.feb;11.apr;3.jan;1.feb;0.9;0.464;0.0;0.837;9.avg;0.183;215447;0.032;0.017
67;13.mar;0.0;6.sep;19.apr;0.595;23.0;4.mar;1982-83;Jeff Ruland;0.5121951219512195;0.0;12.0;750.0;0.016;79.0;36.2;19.apr;11.0;3.0;0.9;1.0;0.552;0.333;0.689;10.jan;0.169;0;0;0.016
68;18.jul;0.0;5.sep;22.avg;0.557;26.0;3.maj;1982-83;Terry Cummings;0.3048780487804878;0.0;10.0;750.0;0.013;70.0;36.2;23.jul;10.jun;2.maj;1.avg;0.9;0.523;0.0;0.709;8.jul;0.164;0;0;0.013
69;13.jun;0.0;4.jun;16.jan;0.528;22.maj;0.4;1982-83;Maurice Lucas;0.6463414634146342;0.0;9.0;750.0;0.012;77.0;33.6;16.maj;10.apr;2.avg;0.7;0.6;0.474;0.333;0.781;7.jan;0.132;0;0;0.012
70;6.apr;0.0;3.0;13.avg;0.543;17.jul;1.feb;1982-83;Alton Lister;0.6219512195121951;0.0;5.0;750.0;0.007;80.0;23.jun;8.apr;7.jan;1.apr;0.6;2.feb;0.529;0.0;0.537;3.avg;0.096;0;0;0.007
71;16.avg;0.1;5.jul;20.mar;0.566;29.jan;3.apr;1982-83;Bernard King;0.5365853658536586;0.0;4.0;750.0;0.005;68.0;32.5;21.sep;4.avg;2.sep;1.mar;0.2;0.528;0.0;0.722;7.maj;0.163;188213;0.028;0.005
72;19.0;1.maj;6.apr;18.sep;0.525;26.jan;2.apr;1982-83;Isiah Thomas;0.45121951219512196;0.0;4.0;750.0;0.005;81.0;38.2;22.sep;4.0;7.avg;2.maj;0.4;0.472;0.288;0.71;7.apr;0.115;367969;0.054;0.005
73;16.feb;0.2;5.0;18.jan;0.545;23.jul;0.6;1982-83;Larry Drew;0.5487804878048781;0.0;3.0;750.0;0.004;75.0;35.9;20.jan;2.avg;8.jan;1.jul;0.1;0.492;0.125;0.82;7.feb;0.128;0;0;0.004
74;17.mar;0.5;4.jun;20.maj;0.517;25.avg;2.jul;1982-83;Gus Williams;0.5853658536585366;0.0;3.0;750.0;0.004;80.0;34.5;20.0;2.jun;8.0;2.mar;0.3;0.477;0.047;0.751;8.maj;0.148;245373;0.036;0.004
75;15.maj;0.4;5.avg;18.avg;0.526;24.feb;2.apr;1982-83;Dan Roundfield;0.524390243902439;0.0;2.0;750.0;0.003;77.0;36.5;19.0;11.apr;2.sep;0.8;1.maj;0.47;0.185;0.749;7.apr;0.127;194187;0.029;0.003
76;17.avg;0.3;4.maj;21.jan;0.543;25.jul;4.avg;1982-83;Marques Johnson;0.6219512195121951;0.0;1.maj;750.0;0.002;80.0;35.7;21.apr;7.0;4.maj;1.mar;0.7;0.509;0.2;0.735;10.jul;0.18;0;0;0.002
77;14.feb;0.2;2.jan;13.sep;0.498;20.sep;-2.2;1982-83;Norm Nixon;0.7073170731707317;0.0;1.0;750.0;0.001;79.0;34.3;15.jan;2.jun;7.feb;1.mar;0.1;0.475;0.0;0.744;3.sep;0.069;0;0;0.001
78;18.jul;0.6;6.avg;21.avg;0.613;24.sep;1.jun;1982-83;Kiki Vandeweghe;0.5487804878048781;0.0;1.0;750.0;0.001;82.0;35.5;26.jul;5.mar;2.maj;0.8;0.5;0.547;0.294;0.875;11.0;0.182;0;0;0.001
79;19.maj;0.9;5.mar;24.feb;0.552;26.jul;7.avg;1983-84;Larry Bird;0.7560975609756098;52.0;652.0;760.0;0.858;79.0;38.3;24.feb;10.jan;6.jun;1.avg;0.9;0.492;0.247;0.888;13.jun;0.215;419327;0.039;0.858
80;18.jan;0.1;7.mar;22.jul;0.619;28.jul;3.jun;1983-84;Bernard King;0.573170731707317;11.0;373.0;760.0;0.491;77.0;34.6;26.mar;5.jan;2.jan;1.0;0.2;0.572;0.0;0.779;12.jan;0.218;0;0;0.491
81;11.jun;0.4;5.mar;22.jun;0.628;19.maj;6.jan;1983-84;Magic Johnson;0.6585365853658537;5.0;305.0;760.0;0.401;67.0;38.3;17.jun;7.mar;13.jan;2.feb;0.7;0.565;0.207;0.81;10.feb;0.191;578795;0.054;0.401
82;15.maj;0.0;4.sep;21.mar;0.608;25.jan;2.avg;1983-84;Kareem Abdul-Jabbar;0.6585365853658537;3.0;153.0;760.0;0.201;80.0;32.8;21.maj;7.mar;2.jun;0.7;1.avg;0.578;0.0;0.723;8.sep;0.163;545568;0.05;0.201
83;17.jul;0.8;6.maj;20.sep;0.52;25.apr;4.mar;1983-84;Isiah Thomas;0.5975609756097561;1.0;115.0;760.0;0.151;82.0;36.7;21.mar;4.0;11.jan;2.maj;0.4;0.462;0.338;0.733;9.jan;0.144;484039;0.045;0.151
84;17.feb;0.3;6.mar;22.sep;0.562;27.feb;5.sep;1983-84;Julius Erving;0.6341463414634146;1.0;98.0;760.0;0.129;77.0;34.8;22.apr;6.sep;4.0;1.avg;1.avg;0.512;0.333;0.754;10.jan;0.18;707012;0.065;0.129
85;18.feb;0.1;12.0;24.jun;0.652;28.feb;4.apr;1983-84;Adrian Dantley;0.5487804878048781;1.0;88.0;760.0;0.116;79.0;37.8;30.jun;5.jul;3.sep;0.8;0.1;0.558;0.25;0.859;14.jun;0.235;339231;0.031;0.116
86;14.feb;0.2;7.sep;19.avg;0.591;22.feb;4.avg;1983-84;Sidney Moncrief;0.6097560975609756;1.0;70.0;760.0;0.092;79.0;38.9;20.sep;6.jul;4.maj;1.apr;0.3;0.498;0.278;0.848;12.jul;0.198;353681;0.033;0.092
87;13.avg;0.1;8.maj;19.jun;0.633;23.0;4.mar;1983-84;Jeff Ruland;0.4268292682926829;1.0;38.0;760.0;0.05;75.0;41.1;22.feb;12.mar;3.sep;0.9;1.0;0.579;0.143;0.733;9.mar;0.144;0;0;0.05
88;15.maj;0.1;10.feb;21.avg;0.566;26.apr;0.7;1983-84;Moses Malone;0.6341463414634146;0.0;35.0;760.0;0.046;71.0;36.8;22.jul;13.apr;1.apr;1.0;1.maj;0.483;0.0;0.75;9.maj;0.175;687741;0.064;0.046
89;22.mar;0.7;7.sep;23.maj;0.572;33.4;3.mar;1983-84;Mark Aguirre;0.524390243902439;0.0;28.0;760.0;0.037;79.0;36.7;29.maj;5.sep;4.maj;1.0;0.3;0.524;0.268;0.749;9.0;0.149;0;0;0.037
90;12.jul;0.1;4.maj;19.feb;0.59;18.feb;2.apr;1983-84;Bill Laimbeer;0.5975609756097561;0.0;9.0;760.0;0.012;82.0;34.9;17.mar;12.feb;1.avg;0.6;1.0;0.53;0.0;0.866;10.avg;0.181;143825;0.013;0.012
91;11.feb;0.2;2.sep;18.0;0.532;16.sep;1.apr;1983-84;Rickey Green;0.5487804878048781;0.0;8.0;760.0;0.011;81.0;34.2;13.feb;2.avg;9.feb;2.jul;0.2;0.486;0.118;0.821;7.sep;0.138;0;0;0.011
92;18.avg;0.9;6.jul;18.avg;0.512;31.mar;0.2;1983-84;World B. Free;0.34146341463414637;0.0;1.0;760.0;0.001;75.0;31.jul;22.mar;2.sep;3.0;1.mar;0.1;0.445;0.319;0.784;5.mar;0.107;0;0;0.001
93;17.apr;0.2;4.jun;19.apr;0.534;25.feb;3.avg;1983-84;Marques Johnson;0.6097560975609756;0.0;1.0;760.0;0.001;74.0;36.7;20.jul;6.maj;4.mar;1.jun;0.6;0.502;0.154;0.709;8.jun;0.152;290236;0.027;0.001
94;22.0;1.jun;5.jul;26.maj;0.585;28.maj;8.maj;1984-85;Larry Bird;0.7682926829268293;73.0;763.0;780.0;0.978;80.0;39.5;28.jul;10.maj;6.jun;1.jun;1.feb;0.522;0.427;0.882;15.jul;0.238;598705;0.047;0.978
95;11.jul;0.5;6.0;23.feb;0.637;20.maj;5.apr;1984-85;Magic Johnson;0.7560975609756098;1.0;264.0;780.0;0.338;77.0;36.1;18.mar;6.feb;12.jun;1.maj;0.3;0.561;0.189;0.843;12.jul;0.22;788954;0.063;0.338
96;16.mar;0.0;11.apr;22.maj;0.577;26.avg;1.maj;1984-85;Moses Malone;0.7073170731707317;0.0;218.0;780.0;0.279;79.0;37.4;24.jun;13.jan;1.jun;0.8;1.jun;0.469;0.0;0.815;11.sep;0.193;927779;0.074;0.279
97;15.mar;0.0;5.0;22.sep;0.628;24.mar;4.sep;1984-85;Kareem Abdul-Jabbar;0.7560975609756098;0.0;206.0;780.0;0.264;79.0;33.3;22.0;7.sep;3.feb;0.8;2.jan;0.599;0.0;0.732;11.feb;0.204;459088;0.036;0.264
98;19.apr;0.0;5.sep;22.jan;0.536;28.avg;3.avg;1984-85;Terry Cummings;0.7195121951219512;2.0;138.0;780.0;0.177;79.0;34.5;23.jun;9.jan;2.sep;1.maj;0.8;0.495;0.0;0.741;10.jul;0.189;0;0;0.177
99;19.avg;0.6;9.jan;25.avg;0.592;29.avg;8.feb;1984-85;Michael Jordan;0.4634146341463415;2.0;134.0;780.0;0.172;82.0;38.3;28.feb;6.maj;5.sep;2.apr;0.8;0.515;0.173;0.845;14.0;0.213;0;0;0.172
100;23.jul;0.2;10.0;25.feb;0.585;35.1;4.mar;1984-85;Bernard King;0.2926829268292683;0.0;70.0;780.0;0.09;55.0;37.5;32.9;5.avg;3.jul;1.mar;0.3;0.53;0.1;0.772;7.jan;0.166;0;0;0.09
101;15.sep;0.5;7.maj;20.jan;0.565;23.jun;4.jul;1984-85;Sidney Moncrief;0.7195121951219512;0.0;65.0;780.0;0.083;73.0;37.5;21.jul;5.apr;5.feb;1.jun;0.5;0.483;0.273;0.828;11.feb;0.197;574926;0.046;0.083
